type,id,geometry_type,geometry_coordinates_0,geometry_coordinates_1,properties_headline,properties_periods_0_closureType,properties_periods_0_direction,properties_periods_0_finishTime,properties_periods_0_fromDay,properties_periods_0_startTime,properties_periods_0_toDay,properties_speedLimit,properties_webLinkUrl,properties_expectedDelay,properties_ended,properties_isNewIncident,properties_publicTransport,properties_impactingNetwork,properties_subCategoryB,properties_isInitialReport,properties_created,properties_isMajor,properties_name,properties_subCategoryA,properties_adviceB,properties_adviceA,properties_end,properties_incidentKind,properties_mainCategory,properties_lastUpdated,properties_otherAdvice,properties_diversions,properties_additionalInfo_0,properties_webLinkName,properties_attendingGroups_0,properties_duration,properties_start,properties_displayName,properties_roads_0_conditionTendency,properties_roads_0_crossStreet,properties_roads_0_delay,properties_roads_0_locationQualifier,properties_roads_0_mainStreet,properties_roads_0_quadrant,properties_roads_0_queueLength,properties_roads_0_region,properties_roads_0_secondLocation,properties_roads_0_suburb,properties_roads_0_trafficVolume
Feature,43837,POINT,151.1863,-33.931644,"CHANGED TRAFFIC CONDITIONS - MASCOT O'Riordan Street between Baxter Road AND Joyce Drive ",LANE_CLOSURE,Southbound,,Every Day,all day,,-1,,,False,False, ,False, ,False,1574300216387,False,,(p),Exercise caution,Check signage,1585227600000,Planned,Changed traffic conditions,1580701682493,"<p>The following traffic arrangements towards Domestic and International airports are currently in place until approximately end of March 2020:</p><ul><li>Motorists going towards Domestic Airport or General Holmes Dr should keep to the left of the median construction site, south of Robey St. </li><li>Motorists going towards International Airport or Marsh St should keep to the right of the median construction site, south of Robey St. </li></ul>", , ,, ,,1574686800000,CHANGED TRAFFIC CONDITIONS,,Baxter Road,,between,O'Riordan Street,,0,SYD_MET,Joyce Drive,Mascot,
Feature,46376,POINT,149.9205,-35.25155,"CHANGED TRAFFIC CONDITIONS Due to damaged bridge - CHARLEYONG/TOMBOYE Charleyong Bridge and Nerriga Road between Oallen Road, Oallen AND Braidwood ",ROAD_CLOSURE,Both directions,,Every Day,all day,,-1,,,False,False, ,False, ,False,1576637329097,False,,(p),Allow extra travel time,Use diversions,1593439200000,Planned,Changed traffic conditions,1581412213977,<p>This bridge is closed until further notice whilst repairs are undertaken.&nbsp;</p><p>Residents will be permitted past closure points but <strong>cannot travel across the bridge.</strong></p>,"<p>The primary detour route (vehicles under 15 tonnes) is via Oallen Rd, Sandy Point Rd, Cullala Rd, Lumley Rd, Braidwood Rd and Kings Hwy, in both directions, adding around 35 minutes travel time. &nbsp; <br></p><p>*Note Charleys Forrest Rd is also closed and cannot be used as a detour route.</p><p>Heavy vehicles should use the Kings Hwy, or other approved routes depending on their load limit restriction.</p>", ,, ,,1564495200000,CHANGED TRAFFIC CONDITIONS Due to damaged bridge,,Oallen Road,,between,Charleyong Bridge and Nerriga Road,,0,REG_SOUTH,Braidwood,Charleyong/Tomboye,
Feature,46594,POINT,150.70866,-33.864704,"CHANGED TRAFFIC CONDITIONS Traffic Switch - LUDDENHAM Elizabeth Drive between The Northern Rd AND Adams Rd ",LANE_CLOSURE,Both directions,,Every Day,all day,,-1,,,False,False, ,False, ,False,1576791229920,False,,Speed restrictions,Exercise caution; Check signage,Reduce your speed,1588186800000,Planned,Changed traffic conditions,1580701527330,"<p>Elizabeth Dr, east of The Northern Rd, has laterally shifted to a newly constructed roadway.</p><p><strong>Changes:-&nbsp;&nbsp;&nbsp;&nbsp;</strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p><ul><li>Lane width reduction from 3.5m to 3.2m</li><li>Shoulder reduction from 2m to 0.6m&nbsp; &nbsp; &nbsp; &nbsp;</li><li>Cyclists will be detoured onto a new cycleway.</li></ul>", , ,, ,,1578488400000,CHANGED TRAFFIC CONDITIONS Traffic Switch,,The Northern Rd,,between,Elizabeth Drive,,0,SYD_WEST,Adams Rd,Luddenham,
Feature,46616,POINT,150.75108,-33.873444,CHANGED TRAFFIC CONDITIONS traffic changes and long term road closures - BADGERYS CREEK Elizabeth Dr/Badgerys Creek Rd near Lawson Road,https://bit.ly/2s7tX9x,CHANGED TRAFFIC CONDITIONS traffic changes and long term road closures - BADGERYS CREEK Elizabeth Dr/Badgerys Creek Rd near Lawson Road,60,,,False,60,,,False,False, ,False, ,False,1576806607810,False,,(p),Check signage; Exercise caution,Reduced speed limit,1582117200000,Planned,Changed traffic conditions,1580512568540,"<p>As part of the Western Sydney Airport Project, there is traffic changes and long term road closures to complete the ultimate design of Elizabeth Dr and Badgerys Creek Rd.<br><strong></strong></p><p><strong>The following traffic changes are in operation:</strong><br><br>Traffic has switched to a newly constructed Badgerys Creek Rd. This new Badgerys Creek link Rd will join Elizabeth Dr.<br>• Existing Badgerys Creek Rd is closed permanently between Elizabeth Dr and Pitt St.</p><p>Elizabeth Dr traffic has been switched over to the newly constructed carriageway.<br>• A new roundabout at the intersection of Elizabeth Dr and the new link of Badgerys Creek Rd which has been shifted and realigned.<br>• Barriers are placed eastbound along Elizabeth Dr and the roundabout to complete pavement works on the existing Elizabeth Dr.</p>", , ,, ,,1579438800000,CHANGED TRAFFIC CONDITIONS traffic changes and long term road closures,,Lawson Road,,near,Elizabeth Dr/Badgerys Creek Rd,,0,SYD_SOUTH, ,Badgerys Creek,
Feature,47408,POINT,148.4415,-35.892487,"HAZARD Bush fire damage - KOSCIUSZKO NATIONAL PARK Link Road between Snowy Mountains Highway AND Goat Ridge Road ",https://www.rfs.nsw.gov.au/fire-information/fires-near-me,Live Traffic lines & icons legend,https://www.livetraffic.com/traffic/attach/20200102103354133_LiveTrafficNSWlegend.png,Kosciuszko National Park,https://www.nationalparks.nsw.gov.au/visit-a-park/parks/kosciuszko-national-park,"HAZARD Bush fire damage - KOSCIUSZKO NATIONAL PARK Link Road between Snowy Mountains Highway AND Goat Ridge Road ",-1,,,False,False, ,True, ,False,1577839046613,False,,, ,Check signage,Unplanned,Unplanned,Hazard,1581448741510, , , ,,Transport for NSW,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,d~azE_`zh[Oo@[c@GC]KU@SFuCvAcCdAg@L]@WEcA_@mBy@c@Sy@i@y@k@[e@s@gBy@uB_@eBc@mFI_BYiCOmAEu@Nq@f@m@LQNa@H{@A}@Mq@g@yAaC_GqB{Fs@sBaA}CWy@w@yAcAoB_A}Bq@wAyBqDq@}@u@{@mCgC{A_Ac@s@}BsCe@q@Qg@E{@@_@He@Pg@Pe@b@k@b@EdC?xCEbEGp@Gr@ORMXa@Pg@XaBP{AJYP_@`@Uf@M~A]`@Qb@i@HSDm@Eg@Qe@u@y@o@c@aAs@SSQa@Kq@Ak@JgAX}@p@g@fAa@|GoBh@Ud@[r@o@^_@z@sAb@eA`@gALm@NoA?k@Iy@[iC_@eDs@eGOyAEcAIcCOuGKwDO_CSqBUuAKoA_@cDMeAm@eCk@mA_C}DeDaGmCoEy@{A,HAZARD Bush fire damage,,Snowy Mountains Highway,,between,Link Road,,0,REG_SOUTH,Goat Ridge Road,Kosciuszko National Park,
Feature,47899,POINT,149.90405,-34.40998,HAZARD Bush fire damage & flooding - UPPER LACHLAN SHIRE COUNCIL AREA Various roads,https://www.upperlachlan.nsw.gov.au/,HAZARD Bush fire damage & flooding - UPPER LACHLAN SHIRE COUNCIL AREA Various roads,-1,,,False,-1,,,False,False, ,True, ,False,1578371808050,False,,,Allow extra travel time,Exercise caution, ,Unplanned,Hazard,1581448652783,"<p>A number of roads within the shire are closed following bush fire damage or flooding.</p><p>For more information <a href=""""https://www.upperlachlan.nsw.gov.au/"""" target=""""_blank"""">visit&nbsp;the council&nbsp;website</a> or call Council on 02 4830 1000 during normal business hours.</p>", , ,, ,Various roads,,HAZARD Bush fire damage & flooding,,,,at,Various roads,,0,REG_SOUTH, ,Upper Lachlan Shire Council area,
Feature,48885,POINT,149.94365,-35.779755,"HAZARD Bush fire damage - MORUYA TO ARALUEN Araluen Road between Yarragee Road, Moruya AND Araluen ",https://www.livetraffic.com/traffic/attach/20200102103354133_LiveTrafficNSWlegend.png,"HAZARD Bush fire damage - MORUYA TO ARALUEN Araluen Road between Yarragee Road, Moruya AND Araluen ",-1,,,False,-1,,,False,False, ,True, ,False,1579313470547,False,,,Use an alternative route,Allow extra travel time, ,Unplanned,Hazard,1581448714963, , , ,,Local Council,BBBBBBBBBBBBBB,t}kyEcter[[gHzAuFnK}GtBcFjCyAtBuAnG_AxBQ,HAZARD Bush fire damage,,Yarragee Road,,between,Araluen Road,,0,REG_SOUTH,Araluen,Moruya to Araluen,
Feature,49035,POINT,151.20375,-33.864857,CHANGED TRAFFIC CONDITIONS Filming - PYRMONT/SYDNEY Western Distributor/Cahill Expressway,-1,,,False,False, ,-1,,,False,False, ,False, ,False,1579476001360,False,,(p), ,Exercise caution,1581786000000,Planned,Changed traffic conditions,1579478943557,<p>Works will be conducted from 4am to 9am each day.</p><p>Mobile work - no lanes will close.</p>, , ,, ,,1581699600000,CHANGED TRAFFIC CONDITIONS Filming,,,,-,Western Distributor/Cahill Expressway,,0,SYD_MET, ,Pyrmont/Sydney,
Feature,49431,POINT,150.68495,-33.84101,CHANGED TRAFFIC CONDITIONS Traffic switch to new roundabout - LUDDENHAM The Northern Road at Gates Road,LANE_CLOSURE,All directions,,Every Day,all day,,-1,,,False,False, ,False, ,False,1579768842903,False,,(p),Exercise caution,Check signage,1607778000000,Planned,Changed traffic conditions,1580885332977,<p>Traffic switch/implementation of new roundabout is scheduled for 5am Tuesday 25th February.</p><p>The intersection of Gates Rd and The Northern Rd will remain closed for the duration of the project. </p><p>Construction vehicles and local traffic will use the new roundabout.&nbsp;</p><p>&nbsp;</p>, , ,, ,,1579352400000,CHANGED TRAFFIC CONDITIONS Traffic switch to new roundabout,,Gates Road,,at,The Northern Road,,0,SYD_WEST, ,Luddenham,
Feature,49698,POINT,148.19142,-36.531387,HAZARD Bush fire damage - THREDBO TO KHANCOBAN Alpine Way from Banjo Drive,https://www.rfs.nsw.gov.au/fire-information/fires-near-me,Live Traffic lines & icons legend,https://www.livetraffic.com/traffic/attach/20200102103354133_LiveTrafficNSWlegend.png,Kosciuszko National Park,https://www.nationalparks.nsw.gov.au/alerts,HAZARD Bush fire damage - THREDBO TO KHANCOBAN Alpine Way from Banjo Drive,-1,,,False,False, ,True, ,False,1580061913423,False,,, ,Check signage,Unplanned,Unplanned,Hazard,1581448842367, , , ,,Transport for NSW,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,zyz}Eslah[f@nAbArAtAfB\|@b@dB^fDrAxONfBP~@b@vAJf@B`@?XF~Af@dDXpAp@vBzCtFvAhCf@fAl@rA`@hAb@dBd@rBb@rCv@bD~@zC|@bCnAlC~@jBv@pBX~@n@nFbArIFl@BjAEn@QfA]tAYrAE`A?TFv@V~@n@jAdAdBjBpDbAxBNl@BTB`BChA@rADx@Np@PZX\hBxAV\,HAZARD Bush fire damage,,Banjo Drive,,from,Alpine Way,,0,REG_SOUTH, ,Thredbo to Khancoban,
Feature,50060,POINT,151.42253,-33.228657,CHANGED TRAFFIC CONDITIONS - TUGGERAH TO DOYALSON M1 Pacific Motorway,https://www.rms.nsw.gov.au/projects/m1-pacific-motorway/tuggerah-to-doyalson-motorway-widening/index.html,CHANGED TRAFFIC CONDITIONS - TUGGERAH TO DOYALSON M1 Pacific Motorway,-1,,,False,-1,,,False,False, ,False, ,False,1580439207560,False,,(p),Exercise caution,Check signage,1582290000000,Planned,Changed traffic conditions,1581511477467,"<p><strong>Sparks Road&nbsp;</strong>1 of 2 lanes closed in each direction with a standard lane merge and intermittent stoppages.</p><p><strong>M1 Pacific Motorway&nbsp;</strong>at Sparks Rd, 1 of 2 northbound lanes closed with a standard lane merge and intermittent stoppages. </p><p><strong>From 5am, Friday 14 Feb</strong>, the lane configuration will change for northbound motorists travelling from the Sparks Rd on-ramp to either the M1 Pacific Mwy or Doyalson Link Rd. Motorists should be prepared for changed merging arrangements.</p>", , ,, ,,1581530400000,CHANGED TRAFFIC CONDITIONS,,,,at,M1 Pacific Motorway,,0,REG_NORTH, ,Tuggerah to Doyalson,
Feature,50065,POINT,151.40363,-33.25364,CHANGED TRAFFIC CONDITIONS M1 Pacific Motorway upgrade - WARNERVALE M1 Pacific Motorway,LANE_CLOSURE,Northbound,5:00am,Sunday,8:30pm,,-1,,,False,False, ,False, ,False,1580440194353,False,,(p),Exercise caution,Check signage,1583065800000,Planned,Changed traffic conditions,1581571959350,"<p>During work, 1 of 2 northbound lanes will close.</p><p>Then, from 5am Monday 24 February, the northbound carriageway will laterally shift to the left back onto permanent lanes 1 and 2 and the speed limit will remain at 80km/h between the northbound twin service centre and Sparks Rd, Warnervale.</p>", , ,, ,,1582376400000,CHANGED TRAFFIC CONDITIONS M1 Pacific Motorway upgrade,,,,at,M1 Pacific Motorway,,0,REG_NORTH, ,Warnervale,
Feature,50105,POINT,151.17932,-33.91258,CHANGED TRAFFIC CONDITIONS - ST PETERS Princes Highway at Campbell St,LANE_CLOSURE,Southbound,,Every Day,all day,,-1,,,False,False, ,False, ,False,1580468501667,False,,(p),Exercise caution,Check signage,1582893000000,Planned,Changed traffic conditions,1581568585980,"Lane 1 southbound on the northern approach to the
Campbell St intersection will become a merge lane, with traffic merging right. Lane changes will become permanent.", , ,, ,,1580216400000,CHANGED TRAFFIC CONDITIONS,,Campbell St,,at,Princes Highway,,0,SYD_MET, ,St Peters,
Feature,50309,POINT,150.0282,-33.79603,"CHANGED TRAFFIC CONDITIONS - JENOLAN Jenolan Caves Road between Five Mile AND Two Mile ",https://www.rfs.nsw.gov.au/fire-information/fires-near-me,Live Traffic Icons & Lines legend,https://www.livetraffic.com/traffic/attach/20200102103354133_LiveTrafficNSWlegend.png,"CHANGED TRAFFIC CONDITIONS - JENOLAN Jenolan Caves Road between Five Mile AND Two Mile ",-1,,-1,,,False,False, ,True, ,False,1580660608437,False,,(u\p), ,Exercise caution,1581448910240,Unplanned,Changed traffic conditions,1581448910240,<p><strong></strong><strong></strong><strong>Jenolan Caves Rd is closed until further notice. Traffic control crews are in place 24 hours a day. </strong></p><p><strong>Jenolan Caves are also closed.</strong><br><strong></strong></p>, , ,,Local Council,BBBBBBBBBBBBBBB,tjlmEkgtr[eAsBUiAX}A`@aHVa@|@SP]a@yAc@y@C}Aw@_B@_C,CHANGED TRAFFIC CONDITIONS,,Five Mile,,between,Jenolan Caves Road,,0,REG_WEST,Two Mile,Jenolan,
Feature,50312,POINT,150.26033,-33.561764,"HAZARD Bush fire damage - BELL TO MOUNT VICTORIA Darling Causeway between Bells Line of Road AND Station St ",https://www.livetraffic.com/traffic/attach/20200102103354133_LiveTrafficNSWlegend.png,"HAZARD Bush fire damage - BELL TO MOUNT VICTORIA Darling Causeway between Bells Line of Road AND Station St ",60,,,False,60,,,False,False, ,True, ,False,1580661126943,False,,(u\p),Exercise caution; Allow extra travel time,Reduced speed limit, ,Unplanned,Changed traffic conditions,1581448849290,"<p><strong>Darling Causeway is open.&nbsp;</strong>Motorists are advised to allow extra travel time due to a reduced speed limit, as the clean-up operation continues.<em></em></p>", , ,,Transport for NSW,,,HAZARD Bush fire damage,,Bells Line of Road,,between,Darling Causeway,,0,SYD_WEST,Station St,Bell to Mount Victoria,
Feature,50623,POINT,150.35818,-33.571922,HAZARD Bush fire damage - BILPIN TO BELL Bells Line of Rd,https://www.livetraffic.com/traffic/attach/20200102103354133_LiveTrafficNSWlegend.png,HAZARD Bush fire damage - BILPIN TO BELL Bells Line of Rd,60,,,False,60,,,False,False, ,True, ,False,1580927684943,False,,,Check signage,Reduced speed limit, ,Unplanned,Hazard,1581448734333,"<p><strong>Bells Line of Rd is open. </strong>Motorists are advised to allow extra travel time due to a reduced speed limit, as the clean-up operation continues.<br><strong></strong><strong></strong></p>", , ,,Local Council,Both directions,,HAZARD Bush fire damage,,,,-,Bells Line of Rd,,0,SYD_WEST, ,Bilpin to Bell,
Feature,50663,POINT,149.6927,-36.862152,HAZARD Bush fire damage - BEGA VALLEY COUNCIL Various roads,https://www.begavalley.nsw.gov.au/cp_themes/default/page.asp?p=DOC-EXJ-60-54-35,HAZARD Bush fire damage - BEGA VALLEY COUNCIL Various roads,-1,,,False,-1,,,False,False, ,True, ,False,1580951937243,False,,,Allow extra travel time,Exercise caution, ,Unplanned,Hazard,1581448706867,<p>There are a number of road closures in the Bega Valley Council area due to earlier bush fires. Please check the council link for exact roads and closure information.&nbsp;</p>, , ,,Local Council,Various roads,,HAZARD Bush fire damage,,,,at,Various roads,,0,REG_SOUTH, ,Bega Valley Council,
